time,target_y,current_y,error,v_y,step_length,FR_idx,FL_idx,RR_idx,RL_idx
0.201,600.0,10.1,589.9,+50.00,9.87,10,25,25,10
0.408,600.0,20.4,579.6,+50.00,9.87,20,5,5,20
0.615,600.0,30.7,569.3,+50.00,9.87,0,15,15,0
0.820,600.0,41.0,559.0,+50.00,9.87,10,25,25,10
1.031,600.0,51.5,548.5,+50.00,9.87,20,5,5,20
1.236,600.0,61.8,538.2,+50.00,9.87,0,15,15,0
1.444,600.0,72.2,527.8,+50.00,9.87,10,25,25,10
1.649,600.0,82.5,517.5,+50.00,9.87,20,5,5,20
1.859,600.0,93.0,507.0,+50.00,9.87,0,15,15,0
2.066,600.0,103.3,496.7,+50.00,9.87,10,25,25,10
2.274,600.0,113.7,486.3,+50.00,9.87,20,5,5,20
2.488,600.0,124.4,475.6,+50.00,9.87,0,15,15,0
2.692,600.0,134.6,465.4,+50.00,9.87,10,25,25,10
2.902,600.0,145.1,454.9,+50.00,9.87,20,5,5,20
3.114,600.0,155.7,444.3,+50.00,9.87,0,15,15,0
3.319,600.0,165.9,434.1,+50.00,9.87,10,25,25,10
3.532,600.0,176.6,423.4,+50.00,9.87,20,5,5,20
3.738,600.0,186.9,413.1,+50.00,9.87,0,15,15,0
3.948,600.0,197.4,402.6,+50.00,9.87,10,25,25,10
4.154,600.0,207.7,392.3,+50.00,9.87,20,5,5,20
4.372,600.0,218.6,381.4,+50.00,9.87,0,15,15,0
4.588,600.0,229.4,370.6,+50.00,9.87,10,25,25,10
4.797,600.0,239.8,360.2,+50.00,9.87,20,5,5,20
5.006,600.0,250.3,349.7,+50.00,9.87,0,15,15,0
5.211,600.0,260.6,339.4,+50.00,9.87,10,25,25,10
5.424,600.0,271.2,328.8,+50.00,9.87,20,5,5,20
5.631,600.0,281.5,318.5,+50.00,9.87,0,15,15,0
5.841,600.0,292.1,307.9,+50.00,9.87,10,25,25,10
6.054,600.0,302.7,297.3,+50.00,9.87,20,5,5,20
6.268,600.0,313.4,286.6,+50.00,9.87,0,15,15,0
6.478,600.0,323.9,276.1,+50.00,9.87,10,25,25,10
6.686,600.0,334.3,265.7,+50.00,9.87,20,5,5,20
6.895,600.0,344.7,255.3,+50.00,9.87,0,15,15,0
7.107,600.0,355.3,244.7,+50.00,9.87,10,25,25,10
7.318,600.0,365.9,234.1,+50.00,9.87,20,5,5,20
7.538,600.0,376.9,223.1,+50.00,9.87,0,15,15,0
7.748,600.0,387.4,212.6,+50.00,9.87,10,25,25,10
7.956,600.0,397.8,202.2,+50.00,9.87,20,5,5,20
8.167,600.0,408.3,191.7,+50.00,9.87,0,15,15,0
8.380,600.0,419.0,181.0,+50.00,9.87,10,25,25,10
8.585,600.0,429.2,170.8,+50.00,9.87,20,5,5,20
8.798,600.0,439.9,160.1,+50.00,9.87,0,15,15,0
9.009,600.0,450.5,149.5,+50.00,9.87,10,25,25,10
9.228,600.0,461.4,138.6,+50.00,9.87,20,5,5,20
9.437,600.0,471.9,128.1,+50.00,9.87,0,15,15,0
9.650,600.0,482.5,117.5,+50.00,9.87,10,25,25,10
9.855,600.0,492.7,107.3,+50.00,9.87,20,5,5,20
10.067,600.0,503.3,96.7,+50.00,9.87,0,15,15,0
10.273,600.0,513.6,86.4,+50.00,9.87,10,25,25,10
10.478,600.0,523.9,76.1,+50.00,9.87,20,5,5,20
10.687,600.0,534.3,65.7,+50.00,9.87,0,15,15,0
10.893,600.0,544.6,55.4,+50.00,9.87,10,25,25,10
11.097,600.0,554.7,45.3,+46.28,9.13,20,5,5,20
11.305,600.0,563.3,36.7,+37.49,7.40,0,15,15,0
11.512,600.0,570.2,29.8,+30.42,6.00,10,25,25,10
11.720,600.0,575.8,24.2,+24.68,4.87,20,5,5,20
11.928,600.0,580.4,19.6,+19.99,3.95,0,15,15,0
12.135,600.0,584.1,15.9,+16.22,3.20,10,25,25,10
12.344,600.0,587.1,12.9,+13.12,2.59,20,5,5,20
12.553,600.0,589.6,10.4,+10.65,2.10,0,15,15,0
